Price,Close,High,Low,Open,Volume,5_Month_MA,10_Month_MA,20_Month_MA,30_Month_MA,60_Month_MA,120_Month_MA,233_Month_MA,5_Month_MA_Slope,10_Month_MA_Slope,20_Month_MA_Slope,30_Month_MA_Slope,60_Month_MA_Slope,120_Month_MA_Slope,233_Month_MA_Slope
Ticker,399001.SZ,399001.SZ,399001.SZ,399001.SZ,399001.SZ,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2003-12-01,3479.760986328125,3557.849953480482,3274.8033261689347,3274.8033261689347,0,3232.433837890625,3257.1515625,3203.5311645507813,3273.5196858723957,3739.9724731445312,,,32.275634765625,42.255517578125364,11.316870117187591,-41.2362060546875,8.841235351562318,,
2004-01-01,3716.828369140625,3825.4870607771395,3471.6909858465565,3473.3110848368297,0,3337.3326171875,3318.65185546875,3237.524279785156,3262.1151448567707,3753.246993001302,,,104.89877929687509,61.50029296874982,33.99311523437473,-11.404541015625,13.274519856770894,,
2004-02-01,3919.8759765625,4007.465082500978,3711.2884712648283,3803.6472991210862,295800,3510.33466796875,3384.568115234375,3255.953564453125,3264.105118815104,3772.6571044921875,,,173.0020507812501,65.916259765625,18.429284667969114,1.989973958333394,19.410111490885356,,
2004-03-01,4060.094482421875,4096.954177586222,3818.377215207282,3925.726112219013,582000,3688.892626953125,3440.2124755859377,3288.6751953125,3282.8219075520833,3792.456717936198,,,178.55795898437464,55.64436035156268,32.72163085937473,18.716788736979197,19.799613444010447,,
2004-04-01,3613.12939453125,4187.183014144872,3572.969932878011,4067.4543766348474,490600,3757.937841796875,3479.0480224609373,3297.4915771484375,3288.6431640625,3806.1183959960936,,,69.04521484375027,38.835546874999636,8.816381835937591,5.821256510416788,13.661678059895621,,
2004-05-01,3577.609619140625,3636.898990616091,3406.871551384384,3626.2692274927,186500,3777.507568359375,3504.970703125,3314.177380371094,3290.7731363932294,3811.239998372396,,,19.56972656249991,25.922680664062682,16.685803222656432,2.129972330729288,5.121602376302235,,
2004-06-01,3275.813232421875,3640.9790448064055,3217.53385898741,3582.4296548793923,285500,3689.304541015625,3513.3185791015626,3326.1607421875,3289.112825520833,3787.4582641601564,,,-88.20302734374991,8.347875976562591,11.983361816406159,-1.6603108723961668,-23.78173421223937,,
2004-07-01,3283.333251953125,3463.0011565186096,3248.4234876696246,3274.463234358098,308000,3561.99599609375,3536.16533203125,3344.2930419921877,3299.135050455729,3774.7587361653646,,,-127.30854492187518,22.846752929687227,18.13229980468759,10.022224934895803,-12.699527994791879,,
2004-08-01,3175.75439453125,3360.0723941132956,3094.5553547339186,3277.3430980539947,230700,3385.127978515625,3537.010302734375,3365.117297363281,3304.0116617838544,3758.452079264323,,,-176.8680175781251,0.844970703125,20.824255371093386,4.876611328125364,-16.306656901041606,,
2004-09-01,3453.87109375,3649.8388619542343,2996.04640529735,3176.714296630114,486500,3353.276318359375,3555.607080078125,3385.2515625,3313.345222981771,3749.886669921875,,,-31.851660156249636,18.59677734375009,20.134265136719023,9.333561197916424,-8.565409342447765,,
